n,val_bytes,mode,threads,phase,count,takes_ms,avg_us,p50_us,p90_us,p99_us,ops
7,1048576,metronome,8,LOAD,200,1800,63503,41855,114367,144767,112.4,
7,1048576,metronome,8,RUN,683,9900,107415,109759,156671,205311,68.9,
7,1048576,baseline,16,LOAD,200,2900,223888,134783,505087,941055,68.3,
7,1048576,baseline,16,RUN,460,9900,320940,254335,581119,834047,46.2,
7,1048576,metronome,16,LOAD,200,1600,110418,82879,209279,249471,128.0,
7,1048576,metronome,16,RUN,681,9900,222498,228863,294655,424703,68.7,
7,1048576,baseline,32,LOAD,200,2900,424855,269823,1183743,1271807,67.8,
7,1048576,baseline,32,RUN,461,9900,636274,520959,1070079,1142783,46.4,
7,1048576,metronome,32,LOAD,200,1900,239785,237567,379903,448767,106.6,
7,1048576,metronome,32,RUN,696,9900,439506,454655,555007,608767,70.3,
7,65536,baseline,16,LOAD,500,400,12141,11687,12407,30207,1314.5,
7,65536,baseline,16,RUN,5000,4500,13799,12927,15855,23167,1103.8,
7,65536,metronome,16,LOAD,500,300,8970,8279,10199,28111,1743.3,
7,65536,metronome,16,RUN,5000,4200,12817,12135,15527,32751,1177.2,
7,65536,baseline,32,LOAD,500,200,14640,13135,17887,41119,2187.7,
7,65536,baseline,32,RUN,5000,4600,28922,31391,33471,114943,1076.3,
7,65536,metronome,32,LOAD,500,200,13858,12087,14983,42847,2329.6,
7,65536,metronome,32,RUN,5000,3400,20995,16799,32495,68991,1456.0,
7,65536,baseline,64,LOAD,500,200,28476,26831,40799,54399,2367.4,
7,65536,baseline,64,RUN,5000,4600,58347,63807,69055,209535,1078.2,
7,65536,metronome,64,LOAD,500,200,23253,19727,49695,53439,2828.5,
7,65536,metronome,64,RUN,5000,3300,40277,39295,64479,104255,1536.1,
7,65536,baseline,128,LOAD,500,200,51612,47487,86079,91007,2401.8,
7,65536,baseline,128,RUN,5000,4700,117472,128831,136191,311807,1071.1,
7,65536,metronome,128,LOAD,500,200,42232,36703,79359,85567,3224.3,
7,65536,metronome,128,RUN,5000,2900,72687,60319,125311,196863,1702.1,
7,65536,baseline,256,LOAD,500,200,102933,71231,185471,190079,2488.8,
7,65536,baseline,256,RUN,5000,4600,229186,258687,333311,445695,1090.2,
7,65536,metronome,256,LOAD,500,200,70527,73151,102655,111871,3082.9,
7,65536,metronome,256,RUN,5000,3000,149009,144383,246143,311807,1665.5,
7,16384,baseline,256,LOAD,2000,200,30453,27007,59231,64671,8888.0,
7,16384,baseline,256,RUN,37711,10000,67385,64799,71103,276735,3779.6,
7,16384,metronome,256,LOAD,2000,200,23320,21007,36927,52447,11916.8,
7,16384,metronome,256,RUN,50041,10000,50658,43711,83711,108031,5017.3,
7,16384,baseline,1024,LOAD,2000,200,89816,78591,133247,144895,11628.4,
7,16384,baseline,1024,RUN,37431,9900,269166,260095,453631,685567,3766.3,
7,16384,metronome,1024,LOAD,2000,100,77663,70399,124607,140415,17274.9,
7,16384,metronome,1024,RUN,50782,9900,197862,176511,304127,534527,5109.4,
7,16384,baseline,2048,LOAD,
7,16384,baseline,2048,RUN,38330,9900,518897,520447,769535,952319,3863.1,
7,16384,metronome,2048,LOAD,
7,16384,metronome,2048,RUN,52726,9900,377108,329727,545791,784895,5336.3,
7,16384,baseline,4096,LOAD,
